timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm
2026-06-11T03:25:37+02:00,HQQ,154,137,50,2026-06-11T03:25:42+02:00,-27.6055
2026-06-11T03:30:29+02:00,QHQ,56,96,66,2026-06-11T03:30:34+02:00,-29.618
2026-06-11T03:35:35+02:00,HQQ,12,154,137,2026-06-11T03:35:40+02:00,-30.3419
2026-06-11T03:40:41+02:00,QHQ,13,47,59,2026-06-11T03:40:46+02:00,-25.2794
2026-06-11T03:45:35+02:00,HQQ,154,11,9,2026-06-11T03:45:40+02:00,-27.1038
2026-06-11T03:50:35+02:00,QHQ,13,154,137,2026-06-11T03:50:40+02:00,-28.6174
2026-06-11T03:55:35+02:00,HQQ,13,153,137,2026-06-11T03:55:40+02:00,-29.5677
2026-06-11T04:00:38+02:00,QHQ,154,10,8,2026-06-11T04:00:43+02:00,-30.2617
2026-06-11T04:05:28+02:00,HQQ,65,77,99,2026-06-11T04:05:33+02:00,-31.1302
2026-06-11T04:10:38+02:00,QHQ,154,11,8,2026-06-11T04:10:43+02:00,-26.4227
2026-06-11T04:15:32+02:00,HQQ,151,134,44,2026-06-11T04:15:37+02:00,-28.7862
2026-06-11T04:20:38+02:00,QHQ,15,154,136,2026-06-11T04:20:43+02:00,-27.7852
2026-06-11T04:25:30+02:00,HQQ,126,122,43,2026-06-11T04:25:35+02:00,-28.6602
2026-06-11T04:30:31+02:00,QHQ,130,99,120,2026-06-11T04:30:36+02:00,-27.0195
2026-06-11T04:35:35+02:00,HQQ,16,154,135,2026-06-11T04:35:40+02:00,-29.0995
2026-06-11T04:40:34+02:00,QHQ,154,152,62,2026-06-11T04:40:39+02:00,-23.1261
2026-06-11T04:45:29+02:00,HQQ,61,71,95,2026-06-11T04:45:34+02:00,-28.6914
2026-06-11T04:50:35+02:00,QHQ,16,154,136,2026-06-11T04:50:40+02:00,-30.1932
2026-06-11T04:55:29+02:00,HQQ,147,133,42,2026-06-11T04:55:34+02:00,-32.0261
2026-06-11T05:00:38+02:00,QHQ,154,9,5,2026-06-11T05:00:43+02:00,-27.5571
2026-06-11T05:05:38+02:00,HQQ,18,154,135,2026-06-11T05:05:43+02:00,-30.4415
2026-06-11T05:10:35+02:00,QHQ,1,154,9,2026-06-11T05:10:40+02:00,-25.4232
2026-06-11T05:15:36+02:00,HQQ,21,154,136,2026-06-11T05:15:41+02:00,-29.1154
2026-06-11T05:20:29+02:00,QHQ,40,66,70,2026-06-11T05:20:34+02:00,-27.916
2026-06-11T05:25:35+02:00,HQQ,21,154,135,2026-06-11T05:25:40+02:00,-31.7306
2026-06-11T05:30:29+02:00,QHQ,40,66,70,2026-06-11T05:30:34+02:00,-26.0459
2026-06-11T05:35:29+02:00,HQQ,31,53,70,2026-06-11T05:35:34+02:00,-29.0184
2026-06-11T05:40:30+02:00,QHQ,143,102,121,2026-06-11T05:40:35+02:00,-27.1222
2026-06-11T05:45:35+02:00,HQQ,20,154,136,2026-06-11T05:45:40+02:00,-30.0298
2026-06-11T05:50:35+02:00,QHQ,135,0,149,2026-06-11T05:50:40+02:00,-23.4937
2026-06-11T05:55:30+02:00,HQQ,147,136,42,2026-06-11T05:55:35+02:00,-29.8315
2026-06-11T06:00:39+02:00,QHQ,14,151,136,2026-06-11T06:00:44+02:00,-28.1093
2026-06-11T06:05:34+02:00,HQQ,1,154,7,2026-06-11T06:05:39+02:00,-26.2782
2026-06-11T06:10:43+02:00,QHQ,17,153,138,2026-06-11T06:10:48+02:00,-26.9691
2026-06-11T06:15:34+02:00,HQQ,151,132,33,2026-06-11T06:15:39+02:00,-24.3672
2026-06-11T06:20:32+02:00,QHQ,134,122,32,2026-06-11T06:20:37+02:00,-27.3669
2026-06-11T06:25:38+02:00,HQQ,154,8,2,2026-06-11T06:25:43+02:00,-29.5209
2026-06-11T06:30:30+02:00,QHQ,36,83,58,2026-06-11T06:30:35+02:00,-29.9745
2026-06-11T06:35:27+02:00,HQQ,92,112,43,2026-06-11T06:35:32+02:00,-27.9585
2026-06-11T06:40:28+02:00,QHQ,33,78,61,2026-06-11T06:40:33+02:00,-31.2978
2026-06-11T06:45:36+02:00,HQQ,18,154,140,2026-06-11T06:45:41+02:00,-31.3507
2026-06-11T06:50:38+02:00,QHQ,17,154,142,2026-06-11T06:50:43+02:00,-30.0495
2026-06-11T06:55:36+02:00,HQQ,16,154,145,2026-06-11T06:55:41+02:00,-29.6299
2026-06-11T07:00:29+02:00,QHQ,117,130,59,2026-06-11T07:00:34+02:00,-25.1233
